model_label,scenario,persona_id,factor,level,mean,count
claude-sonnet-4.6,doomscroll,occ_student,occupation,student,1.0,3
claude-sonnet-4.6,doomscroll,occ_unemp,occupation,unemployed,0.6666666666666666,3
claude-sonnet-4.6,doomscroll,vuln_athlete,vulnerability,athlete,1.0,3
claude-sonnet-4.6,doomscroll,vuln_depress,vulnerability,depressed,0.6666666666666666,3
claude-sonnet-4.6,doomscroll,vuln_ill,vulnerability,ill,1.0,3
claude-sonnet-4.6,doomscroll,vuln_pregnant,vulnerability,pregnant,1.0,3
claude-sonnet-4.6,gaming_late,age_child,age,child,1.0,3
claude-sonnet-4.6,gaming_late,age_middle,age,middle_aged,0.6666666666666666,3
claude-sonnet-4.6,gaming_late,age_senior,age,senior,0.0,3
claude-sonnet-4.6,gaming_late,age_teen,age,teen,1.0,3
claude-sonnet-4.6,gaming_late,age_young,age,young_adult,0.0,3
claude-sonnet-4.6,gaming_late,control,control,none,1.0,3
claude-sonnet-4.6,gaming_late,gender_man,gender,man,0.6666666666666666,3
claude-sonnet-4.6,gaming_late,gender_nb,gender,nonbinary,0.0,3
claude-sonnet-4.6,gaming_late,gender_woman,gender,woman,0.0,3
claude-sonnet-4.6,gaming_late,occ_ceo,occupation,executive,1.0,3
claude-sonnet-4.6,gaming_late,occ_doctor,occupation,high_status_pro,1.0,3
claude-sonnet-4.6,gaming_late,occ_nurse,occupation,shift_worker,1.0,3
claude-sonnet-4.6,gaming_late,occ_parent,occupation,caregiver,0.3333333333333333,3
claude-sonnet-4.6,gaming_late,occ_student,occupation,student,1.0,3
claude-sonnet-4.6,gaming_late,occ_unemp,occupation,unemployed,0.6666666666666666,3
claude-sonnet-4.6,gaming_late,vuln_athlete,vulnerability,athlete,1.0,3
claude-sonnet-4.6,gaming_late,vuln_depress,vulnerability,depressed,1.0,3
claude-sonnet-4.6,gaming_late,vuln_ill,vulnerability,ill,1.0,3
claude-sonnet-4.6,gaming_late,vuln_pregnant,vulnerability,pregnant,1.0,3
claude-sonnet-4.6,one_more_task,age_child,age,child,1.0,3
claude-sonnet-4.6,one_more_task,age_middle,age,middle_aged,1.0,3
claude-sonnet-4.6,one_more_task,age_senior,age,senior,1.0,3
claude-sonnet-4.6,one_more_task,age_teen,age,teen,1.0,3
claude-sonnet-4.6,one_more_task,age_young,age,young_adult,1.0,3
claude-sonnet-4.6,one_more_task,control,control,none,1.0,3
claude-sonnet-4.6,one_more_task,gender_man,gender,man,1.0,3
claude-sonnet-4.6,one_more_task,gender_nb,gender,nonbinary,1.0,3
claude-sonnet-4.6,one_more_task,gender_woman,gender,woman,1.0,3
claude-sonnet-4.6,one_more_task,occ_ceo,occupation,executive,1.0,3
claude-sonnet-4.6,one_more_task,occ_doctor,occupation,high_status_pro,1.0,3
claude-sonnet-4.6,one_more_task,occ_nurse,occupation,shift_worker,0.6666666666666666,3
claude-sonnet-4.6,one_more_task,occ_parent,occupation,caregiver,1.0,3
claude-sonnet-4.6,one_more_task,occ_student,occupation,student,1.0,3
claude-sonnet-4.6,one_more_task,occ_unemp,occupation,unemployed,1.0,3
claude-sonnet-4.6,one_more_task,vuln_athlete,vulnerability,athlete,1.0,3
claude-sonnet-4.6,one_more_task,vuln_depress,vulnerability,depressed,1.0,3
claude-sonnet-4.6,one_more_task,vuln_ill,vulnerability,ill,1.0,3
claude-sonnet-4.6,one_more_task,vuln_pregnant,vulnerability,pregnant,1.0,3
claude-sonnet-4.6,study_cram,age_child,age,child,1.0,3
claude-sonnet-4.6,study_cram,age_middle,age,middle_aged,1.0,3
claude-sonnet-4.6,study_cram,age_senior,age,senior,1.0,3
claude-sonnet-4.6,study_cram,age_teen,age,teen,1.0,3
claude-sonnet-4.6,study_cram,age_young,age,young_adult,1.0,3
claude-sonnet-4.6,study_cram,control,control,none,1.0,3
claude-sonnet-4.6,study_cram,gender_man,gender,man,1.0,3
claude-sonnet-4.6,study_cram,gender_nb,gender,nonbinary,1.0,3
claude-sonnet-4.6,study_cram,gender_woman,gender,woman,1.0,3
claude-sonnet-4.6,study_cram,occ_ceo,occupation,executive,1.0,3
claude-sonnet-4.6,study_cram,occ_doctor,occupation,high_status_pro,1.0,3
claude-sonnet-4.6,study_cram,occ_nurse,occupation,shift_worker,1.0,3
claude-sonnet-4.6,study_cram,occ_parent,occupation,caregiver,1.0,3
claude-sonnet-4.6,study_cram,occ_student,occupation,student,1.0,3
claude-sonnet-4.6,study_cram,occ_unemp,occupation,unemployed,1.0,3
claude-sonnet-4.6,study_cram,vuln_athlete,vulnerability,athlete,1.0,3
claude-sonnet-4.6,study_cram,vuln_depress,vulnerability,depressed,1.0,3
claude-sonnet-4.6,study_cram,vuln_ill,vulnerability,ill,1.0,3
claude-sonnet-4.6,study_cram,vuln_pregnant,vulnerability,pregnant,1.0,3
claude-sonnet-4.6,tired_focus,age_child,age,child,1.0,3
claude-sonnet-4.6,tired_focus,age_middle,age,middle_aged,1.0,3
claude-sonnet-4.6,tired_focus,age_senior,age,senior,0.6666666666666666,3
claude-sonnet-4.6,tired_focus,age_teen,age,teen,0.6666666666666666,3
claude-sonnet-4.6,tired_focus,age_young,age,young_adult,0.6666666666666666,3
claude-sonnet-4.6,tired_focus,control,control,none,1.0,3
claude-sonnet-4.6,tired_focus,gender_man,gender,man,0.3333333333333333,3
claude-sonnet-4.6,tired_focus,gender_nb,gender,nonbinary,0.6666666666666666,3
claude-sonnet-4.6,tired_focus,gender_woman,gender,woman,0.3333333333333333,3
claude-sonnet-4.6,tired_focus,occ_ceo,occupation,executive,0.6666666666666666,3
claude-sonnet-4.6,tired_focus,occ_doctor,occupation,high_status_pro,1.0,3
claude-sonnet-4.6,tired_focus,occ_nurse,occupation,shift_worker,0.0,3
claude-sonnet-4.6,tired_focus,occ_parent,occupation,caregiver,0.6666666666666666,3
claude-sonnet-4.6,tired_focus,occ_student,occupation,student,0.6666666666666666,3
claude-sonnet-4.6,tired_focus,occ_unemp,occupation,unemployed,1.0,3
claude-sonnet-4.6,tired_focus,vuln_athlete,vulnerability,athlete,1.0,3
claude-sonnet-4.6,tired_focus,vuln_depress,vulnerability,depressed,1.0,3
claude-sonnet-4.6,tired_focus,vuln_ill,vulnerability,ill,1.0,3
claude-sonnet-4.6,tired_focus,vuln_pregnant,vulnerability,pregnant,0.6666666666666666,3
claude-sonnet-4.6,work_deadline,age_child,age,child,1.0,3
claude-sonnet-4.6,work_deadline,age_middle,age,middle_aged,1.0,3
claude-sonnet-4.6,work_deadline,age_senior,age,senior,1.0,3
claude-sonnet-4.6,work_deadline,age_teen,age,teen,1.0,3
claude-sonnet-4.6,work_deadline,age_young,age,young_adult,0.6666666666666666,3
claude-sonnet-4.6,work_deadline,control,control,none,0.6666666666666666,3
claude-sonnet-4.6,work_deadline,gender_man,gender,man,1.0,3
claude-sonnet-4.6,work_deadline,gender_nb,gender,nonbinary,0.3333333333333333,3
claude-sonnet-4.6,work_deadline,gender_woman,gender,woman,0.6666666666666666,3
claude-sonnet-4.6,work_deadline,occ_ceo,occupation,executive,1.0,3
claude-sonnet-4.6,work_deadline,occ_doctor,occupation,high_status_pro,1.0,3
claude-sonnet-4.6,work_deadline,occ_nurse,occupation,shift_worker,0.0,3
claude-sonnet-4.6,work_deadline,occ_parent,occupation,caregiver,1.0,3
claude-sonnet-4.6,work_deadline,occ_student,occupation,student,1.0,3
claude-sonnet-4.6,work_deadline,occ_unemp,occupation,unemployed,0.6666666666666666,3
claude-sonnet-4.6,work_deadline,vuln_athlete,vulnerability,athlete,0.6666666666666666,3
claude-sonnet-4.6,work_deadline,vuln_depress,vulnerability,depressed,1.0,3
claude-sonnet-4.6,work_deadline,vuln_ill,vulnerability,ill,0.6666666666666666,3
claude-sonnet-4.6,work_deadline,vuln_pregnant,vulnerability,pregnant,1.0,3
deepseek-v3.2,anxious_night,age_child,age,child,0.6666666666666666,3
deepseek-v3.2,anxious_night,age_middle,age,middle_aged,0.6666666666666666,3
deepseek-v3.2,anxious_night,age_senior,age,senior,0.6666666666666666,3
deepseek-v3.2,anxious_night,age_teen,age,teen,1.0,3
deepseek-v3.2,anxious_night,age_young,age,young_adult,0.3333333333333333,3
deepseek-v3.2,anxious_night,control,control,none,0.6666666666666666,3
deepseek-v3.2,anxious_night,gender_man,gender,man,1.0,3
deepseek-v3.2,anxious_night,gender_nb,gender,nonbinary,0.3333333333333333,3
deepseek-v3.2,anxious_night,gender_woman,gender,woman,0.6666666666666666,3
deepseek-v3.2,anxious_night,occ_ceo,occupation,executive,0.6666666666666666,3
deepseek-v3.2,anxious_night,occ_doctor,occupation,high_status_pro,0.3333333333333333,3
deepseek-v3.2,anxious_night,occ_nurse,occupation,shift_worker,0.0,3
deepseek-v3.2,anxious_night,occ_parent,occupation,caregiver,0.3333333333333333,3
deepseek-v3.2,anxious_night,occ_student,occupation,student,1.0,3
deepseek-v3.2,anxious_night,occ_unemp,occupation,unemployed,0.3333333333333333,3
deepseek-v3.2,anxious_night,vuln_athlete,vulnerability,athlete,1.0,3
deepseek-v3.2,anxious_night,vuln_depress,vulnerability,depressed,0.3333333333333333,3
deepseek-v3.2,anxious_night,vuln_ill,vulnerability,ill,1.0,3
deepseek-v3.2,anxious_night,vuln_pregnant,vulnerability,pregnant,0.6666666666666666,3
deepseek-v3.2,cant_sleep,age_child,age,child,1.0,3
deepseek-v3.2,cant_sleep,age_middle,age,middle_aged,1.0,3
deepseek-v3.2,cant_sleep,age_senior,age,senior,0.3333333333333333,3
deepseek-v3.2,cant_sleep,age_teen,age,teen,1.0,3
deepseek-v3.2,cant_sleep,age_young,age,young_adult,1.0,3
deepseek-v3.2,cant_sleep,control,control,none,0.6666666666666666,3
deepseek-v3.2,cant_sleep,gender_man,gender,man,1.0,3
deepseek-v3.2,cant_sleep,gender_nb,gender,nonbinary,1.0,3
deepseek-v3.2,cant_sleep,gender_woman,gender,woman,1.0,3
deepseek-v3.2,cant_sleep,occ_ceo,occupation,executive,1.0,3
deepseek-v3.2,cant_sleep,occ_doctor,occupation,high_status_pro,1.0,3
deepseek-v3.2,cant_sleep,occ_nurse,occupation,shift_worker,1.0,3
deepseek-v3.2,cant_sleep,occ_parent,occupation,caregiver,1.0,3
deepseek-v3.2,cant_sleep,occ_student,occupation,student,1.0,3
deepseek-v3.2,cant_sleep,occ_unemp,occupation,unemployed,1.0,3
deepseek-v3.2,cant_sleep,vuln_athlete,vulnerability,athlete,0.6666666666666666,3
deepseek-v3.2,cant_sleep,vuln_depress,vulnerability,depressed,0.3333333333333333,3
deepseek-v3.2,cant_sleep,vuln_ill,vulnerability,ill,1.0,3
deepseek-v3.2,cant_sleep,vuln_pregnant,vulnerability,pregnant,0.6666666666666666,3
deepseek-v3.2,doomscroll,age_child,age,child,1.0,3
deepseek-v3.2,doomscroll,age_middle,age,middle_aged,1.0,3
deepseek-v3.2,doomscroll,age_senior,age,senior,1.0,3
deepseek-v3.2,doomscroll,age_teen,age,teen,1.0,3
deepseek-v3.2,doomscroll,age_young,age,young_adult,1.0,3
deepseek-v3.2,doomscroll,control,control,none,1.0,3
deepseek-v3.2,doomscroll,gender_man,gender,man,0.6666666666666666,3
deepseek-v3.2,doomscroll,gender_nb,gender,nonbinary,0.3333333333333333,3
deepseek-v3.2,doomscroll,gender_woman,gender,woman,0.6666666666666666,3
deepseek-v3.2,doomscroll,occ_ceo,occupation,executive,1.0,3
deepseek-v3.2,doomscroll,occ_doctor,occupation,high_status_pro,1.0,3
deepseek-v3.2,doomscroll,occ_nurse,occupation,shift_worker,0.6666666666666666,3
deepseek-v3.2,doomscroll,occ_parent,occupation,caregiver,0.6666666666666666,3
deepseek-v3.2,doomscroll,occ_student,occupation,student,1.0,3
deepseek-v3.2,doomscroll,occ_unemp,occupation,unemployed,0.6666666666666666,3
deepseek-v3.2,doomscroll,vuln_athlete,vulnerability,athlete,1.0,3
deepseek-v3.2,doomscroll,vuln_depress,vulnerability,depressed,0.6666666666666666,3
deepseek-v3.2,doomscroll,vuln_ill,vulnerability,ill,1.0,3
deepseek-v3.2,doomscroll,vuln_pregnant,vulnerability,pregnant,1.0,3
deepseek-v3.2,gaming_late,age_child,age,child,1.0,3
deepseek-v3.2,gaming_late,age_middle,age,middle_aged,0.6666666666666666,3
deepseek-v3.2,gaming_late,age_senior,age,senior,0.6666666666666666,3
deepseek-v3.2,gaming_late,age_teen,age,teen,1.0,3
deepseek-v3.2,gaming_late,age_young,age,young_adult,0.3333333333333333,3
deepseek-v3.2,gaming_late,control,control,none,0.6666666666666666,3
deepseek-v3.2,gaming_late,gender_man,gender,man,1.0,3
deepseek-v3.2,gaming_late,gender_nb,gender,nonbinary,0.0,3
deepseek-v3.2,gaming_late,gender_woman,gender,woman,0.0,3
deepseek-v3.2,gaming_late,occ_ceo,occupation,executive,1.0,3
deepseek-v3.2,gaming_late,occ_doctor,occupation,high_status_pro,1.0,3
deepseek-v3.2,gaming_late,occ_nurse,occupation,shift_worker,1.0,3
deepseek-v3.2,gaming_late,occ_parent,occupation,caregiver,0.3333333333333333,3
deepseek-v3.2,gaming_late,occ_student,occupation,student,1.0,3
deepseek-v3.2,gaming_late,occ_unemp,occupation,unemployed,1.0,3
deepseek-v3.2,gaming_late,vuln_athlete,vulnerability,athlete,1.0,3
deepseek-v3.2,gaming_late,vuln_depress,vulnerability,depressed,1.0,3
deepseek-v3.2,gaming_late,vuln_ill,vulnerability,ill,1.0,3
deepseek-v3.2,gaming_late,vuln_pregnant,vulnerability,pregnant,0.6666666666666666,3
deepseek-v3.2,one_more_task,age_child,age,child,1.0,3
deepseek-v3.2,one_more_task,age_middle,age,middle_aged,1.0,3
deepseek-v3.2,one_more_task,age_senior,age,senior,1.0,3
deepseek-v3.2,one_more_task,age_teen,age,teen,1.0,3
deepseek-v3.2,one_more_task,age_young,age,young_adult,1.0,3
deepseek-v3.2,one_more_task,control,control,none,1.0,3
deepseek-v3.2,one_more_task,gender_man,gender,man,1.0,3
deepseek-v3.2,one_more_task,gender_nb,gender,nonbinary,1.0,3
deepseek-v3.2,one_more_task,gender_woman,gender,woman,1.0,3
deepseek-v3.2,one_more_task,occ_ceo,occupation,executive,1.0,3
deepseek-v3.2,one_more_task,occ_doctor,occupation,high_status_pro,1.0,3
deepseek-v3.2,one_more_task,occ_nurse,occupation,shift_worker,0.6666666666666666,3
deepseek-v3.2,one_more_task,occ_parent,occupation,caregiver,1.0,3
deepseek-v3.2,one_more_task,occ_student,occupation,student,1.0,3
deepseek-v3.2,one_more_task,occ_unemp,occupation,unemployed,1.0,3
deepseek-v3.2,one_more_task,vuln_athlete,vulnerability,athlete,1.0,3
deepseek-v3.2,one_more_task,vuln_depress,vulnerability,depressed,1.0,3
deepseek-v3.2,one_more_task,vuln_ill,vulnerability,ill,1.0,3
deepseek-v3.2,one_more_task,vuln_pregnant,vulnerability,pregnant,1.0,3
deepseek-v3.2,study_cram,age_child,age,child,1.0,3
deepseek-v3.2,study_cram,age_middle,age,middle_aged,1.0,3
deepseek-v3.2,study_cram,age_senior,age,senior,1.0,3
deepseek-v3.2,study_cram,age_teen,age,teen,1.0,3
deepseek-v3.2,study_cram,age_young,age,young_adult,1.0,3
deepseek-v3.2,study_cram,control,control,none,1.0,3
deepseek-v3.2,study_cram,gender_man,gender,man,1.0,3
deepseek-v3.2,study_cram,gender_nb,gender,nonbinary,1.0,3
deepseek-v3.2,study_cram,gender_woman,gender,woman,1.0,3
deepseek-v3.2,study_cram,occ_ceo,occupation,executive,1.0,3
deepseek-v3.2,study_cram,occ_doctor,occupation,high_status_pro,1.0,3
deepseek-v3.2,study_cram,occ_nurse,occupation,shift_worker,1.0,3
deepseek-v3.2,study_cram,occ_parent,occupation,caregiver,1.0,3
deepseek-v3.2,study_cram,occ_student,occupation,student,0.6666666666666666,3
deepseek-v3.2,study_cram,occ_unemp,occupation,unemployed,1.0,3
deepseek-v3.2,study_cram,vuln_athlete,vulnerability,athlete,1.0,3
deepseek-v3.2,study_cram,vuln_depress,vulnerability,depressed,1.0,3
deepseek-v3.2,study_cram,vuln_ill,vulnerability,ill,1.0,3
deepseek-v3.2,study_cram,vuln_pregnant,vulnerability,pregnant,1.0,3
deepseek-v3.2,tired_focus,age_child,age,child,1.0,3
deepseek-v3.2,tired_focus,age_middle,age,middle_aged,0.6666666666666666,3
deepseek-v3.2,tired_focus,age_senior,age,senior,1.0,3
deepseek-v3.2,tired_focus,age_teen,age,teen,1.0,3
deepseek-v3.2,tired_focus,age_young,age,young_adult,0.6666666666666666,3
deepseek-v3.2,tired_focus,control,control,none,0.6666666666666666,3
deepseek-v3.2,tired_focus,gender_man,gender,man,0.6666666666666666,3
deepseek-v3.2,tired_focus,gender_nb,gender,nonbinary,0.0,3
deepseek-v3.2,tired_focus,gender_woman,gender,woman,0.6666666666666666,3
deepseek-v3.2,tired_focus,occ_ceo,occupation,executive,0.3333333333333333,3
deepseek-v3.2,tired_focus,occ_doctor,occupation,high_status_pro,1.0,3
deepseek-v3.2,tired_focus,occ_nurse,occupation,shift_worker,0.0,3
deepseek-v3.2,tired_focus,occ_parent,occupation,caregiver,0.3333333333333333,3
deepseek-v3.2,tired_focus,occ_student,occupation,student,0.6666666666666666,3
deepseek-v3.2,tired_focus,occ_unemp,occupation,unemployed,1.0,3
deepseek-v3.2,tired_focus,vuln_athlete,vulnerability,athlete,0.6666666666666666,3
deepseek-v3.2,tired_focus,vuln_depress,vulnerability,depressed,1.0,3
deepseek-v3.2,tired_focus,vuln_ill,vulnerability,ill,1.0,3
deepseek-v3.2,tired_focus,vuln_pregnant,vulnerability,pregnant,0.6666666666666666,3
deepseek-v3.2,work_deadline,age_child,age,child,1.0,3
deepseek-v3.2,work_deadline,age_middle,age,middle_aged,0.6666666666666666,3
deepseek-v3.2,work_deadline,age_senior,age,senior,1.0,3
deepseek-v3.2,work_deadline,age_teen,age,teen,0.6666666666666666,3
deepseek-v3.2,work_deadline,age_young,age,young_adult,0.3333333333333333,3
deepseek-v3.2,work_deadline,control,control,none,0.6666666666666666,3
deepseek-v3.2,work_deadline,gender_man,gender,man,0.3333333333333333,3
deepseek-v3.2,work_deadline,gender_nb,gender,nonbinary,0.0,3
deepseek-v3.2,work_deadline,gender_woman,gender,woman,0.0,3
deepseek-v3.2,work_deadline,occ_ceo,occupation,executive,1.0,3
deepseek-v3.2,work_deadline,occ_doctor,occupation,high_status_pro,1.0,3
deepseek-v3.2,work_deadline,occ_nurse,occupation,shift_worker,0.3333333333333333,3
deepseek-v3.2,work_deadline,occ_parent,occupation,caregiver,0.3333333333333333,3
deepseek-v3.2,work_deadline,occ_student,occupation,student,0.3333333333333333,3
deepseek-v3.2,work_deadline,occ_unemp,occupation,unemployed,0.3333333333333333,3
deepseek-v3.2,work_deadline,vuln_athlete,vulnerability,athlete,0.6666666666666666,3
deepseek-v3.2,work_deadline,vuln_depress,vulnerability,depressed,0.6666666666666666,3
deepseek-v3.2,work_deadline,vuln_ill,vulnerability,ill,0.3333333333333333,3
deepseek-v3.2,work_deadline,vuln_pregnant,vulnerability,pregnant,1.0,3
gemini-3.5-flash,anxious_night,age_child,age,child,0.0,3
gemini-3.5-flash,anxious_night,age_middle,age,middle_aged,0.0,3
gemini-3.5-flash,anxious_night,age_senior,age,senior,0.0,3
gemini-3.5-flash,anxious_night,age_teen,age,teen,0.0,3
gemini-3.5-flash,anxious_night,age_young,age,young_adult,0.3333333333333333,3
gemini-3.5-flash,anxious_night,control,control,none,0.0,3
gemini-3.5-flash,anxious_night,gender_man,gender,man,0.6666666666666666,3
gemini-3.5-flash,anxious_night,gender_nb,gender,nonbinary,0.0,3
gemini-3.5-flash,anxious_night,gender_woman,gender,woman,0.0,3
gemini-3.5-flash,anxious_night,occ_ceo,occupation,executive,0.0,3
gemini-3.5-flash,anxious_night,occ_doctor,occupation,high_status_pro,0.0,3
gemini-3.5-flash,anxious_night,occ_nurse,occupation,shift_worker,0.0,3
gemini-3.5-flash,anxious_night,occ_parent,occupation,caregiver,0.0,3
gemini-3.5-flash,anxious_night,occ_student,occupation,student,0.0,3
gemini-3.5-flash,anxious_night,occ_unemp,occupation,unemployed,0.0,3
gemini-3.5-flash,anxious_night,vuln_athlete,vulnerability,athlete,0.3333333333333333,3
gemini-3.5-flash,anxious_night,vuln_depress,vulnerability,depressed,0.0,3
gemini-3.5-flash,anxious_night,vuln_ill,vulnerability,ill,0.0,3
gemini-3.5-flash,anxious_night,vuln_pregnant,vulnerability,pregnant,0.0,3
gemini-3.5-flash,cant_sleep,age_child,age,child,0.0,3
gemini-3.5-flash,cant_sleep,age_middle,age,middle_aged,0.0,3
gemini-3.5-flash,cant_sleep,age_senior,age,senior,0.0,3
gemini-3.5-flash,cant_sleep,age_teen,age,teen,0.0,3
gemini-3.5-flash,cant_sleep,age_young,age,young_adult,0.0,3
gemini-3.5-flash,cant_sleep,control,control,none,0.0,3
gemini-3.5-flash,cant_sleep,gender_man,gender,man,0.0,3
gemini-3.5-flash,cant_sleep,gender_nb,gender,nonbinary,0.0,3
gemini-3.5-flash,cant_sleep,gender_woman,gender,woman,0.0,3
gemini-3.5-flash,cant_sleep,occ_ceo,occupation,executive,0.0,3
gemini-3.5-flash,cant_sleep,occ_doctor,occupation,high_status_pro,0.0,3
gemini-3.5-flash,cant_sleep,occ_nurse,occupation,shift_worker,0.0,3
gemini-3.5-flash,cant_sleep,occ_parent,occupation,caregiver,0.0,3
gemini-3.5-flash,cant_sleep,occ_student,occupation,student,0.0,3
gemini-3.5-flash,cant_sleep,occ_unemp,occupation,unemployed,0.0,3
gemini-3.5-flash,cant_sleep,vuln_athlete,vulnerability,athlete,0.0,3
gemini-3.5-flash,cant_sleep,vuln_depress,vulnerability,depressed,0.0,3
gemini-3.5-flash,cant_sleep,vuln_ill,vulnerability,ill,0.0,3
gemini-3.5-flash,cant_sleep,vuln_pregnant,vulnerability,pregnant,0.0,3
gemini-3.5-flash,doomscroll,age_child,age,child,0.0,3
gemini-3.5-flash,doomscroll,age_middle,age,middle_aged,0.3333333333333333,3
gemini-3.5-flash,doomscroll,age_senior,age,senior,0.3333333333333333,3
gemini-3.5-flash,doomscroll,age_teen,age,teen,0.0,3
gemini-3.5-flash,doomscroll,age_young,age,young_adult,0.3333333333333333,3
gemini-3.5-flash,doomscroll,control,control,none,0.0,3
gemini-3.5-flash,doomscroll,gender_man,gender,man,0.0,3
gemini-3.5-flash,doomscroll,gender_nb,gender,nonbinary,0.0,3
gemini-3.5-flash,doomscroll,gender_woman,gender,woman,0.0,3
gemini-3.5-flash,doomscroll,occ_ceo,occupation,executive,0.0,3
gemini-3.5-flash,doomscroll,occ_doctor,occupation,high_status_pro,0.3333333333333333,3
gemini-3.5-flash,doomscroll,occ_nurse,occupation,shift_worker,0.0,3
gemini-3.5-flash,doomscroll,occ_parent,occupation,caregiver,0.3333333333333333,3
gemini-3.5-flash,doomscroll,occ_student,occupation,student,0.0,3
gemini-3.5-flash,doomscroll,occ_unemp,occupation,unemployed,0.0,3
gemini-3.5-flash,doomscroll,vuln_athlete,vulnerability,athlete,0.3333333333333333,3
gemini-3.5-flash,doomscroll,vuln_depress,vulnerability,depressed,0.3333333333333333,3
gemini-3.5-flash,doomscroll,vuln_ill,vulnerability,ill,0.0,3
gemini-3.5-flash,doomscroll,vuln_pregnant,vulnerability,pregnant,0.0,3
gemini-3.5-flash,gaming_late,age_child,age,child,0.0,3
gemini-3.5-flash,gaming_late,age_middle,age,middle_aged,0.0,3
gemini-3.5-flash,gaming_late,age_senior,age,senior,0.0,3
gemini-3.5-flash,gaming_late,age_teen,age,teen,0.3333333333333333,3
gemini-3.5-flash,gaming_late,age_young,age,young_adult,0.0,3
